GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
store,com.bookstore,MongoConnector,47,0,0,0,13,0,3,0,3,0
store,com.bookstore,App,10,0,0,0,5,0,2,0,2,0
